"country","countryiso3","latest.year_SH.DYN.AIDS.ZS","latest.value_SH.DYN.AIDS.ZS"
"Afghanistan","AFG",2018,0.1
"Algeria","DZA",2018,0.1
"Angola","AGO",2018,2
"Arab World","ARB",2018,0.120953374001664
"Argentina","ARG",2018,0.4
"Armenia","ARM",2018,0.2
"Australia","AUS",2018,0.1
"Bahamas, The","BHS",2018,1.8
"Bangladesh","BGD",2018,0.1
"Barbados","BRB",2018,1.5
"Belarus","BLR",2018,0.5
"Belize","BLZ",2018,1.9
"Benin","BEN",2018,1
"Bhutan","BTN",2018,0.3
"Bolivia","BOL",2018,0.3
"Bosnia and Herzegovina","BIH",2018,0.1
"Botswana","BWA",2018,20.3
"Brazil","BRA",2018,0.5
"Bulgaria","BGR",2018,0.1
"Burkina Faso","BFA",2018,0.7
"Burundi","BDI",2018,1
"Cabo Verde","CPV",2018,0.6
"Cambodia","KHM",2018,0.5
"Cameroon","CMR",2018,3.6
"Caribbean small states","CSS",2018,1.74859959934384
"Central African Republic","CAF",2018,3.6
"Chad","TCD",2018,1.3
"Chile","CHL",2018,0.5
"Colombia","COL",2018,0.4
"Comoros","COM",2018,0.1
"Congo, Dem. Rep.","COD",2018,0.8
"Congo, Rep.","COG",2018,2.6
"Costa Rica","CRI",2018,0.4
"Cote d'Ivoire","CIV",2018,2.6
"Croatia","HRV",2018,0.1
"Cuba","CUB",2018,0.4
"Czech Republic","CZE",2018,0.1
"Denmark","DNK",2018,0.1
"Djibouti","DJI",2018,1.2
"Dominican Republic","DOM",2018,0.9
"Ecuador","ECU",2018,0.4
"Egypt, Arab Rep.","EGY",2018,0.1
"El Salvador","SLV",2018,0.6
"Equatorial Guinea","GNQ",2018,7.1
"Eritrea","ERI",2018,0.7
"Estonia","EST",2018,0.9
"Eswatini","SWZ",2018,27.3
"Ethiopia","ETH",2018,1
"Euro area","EMU",2018,0.243574749516577
"European Union","EUU",2018,0.218810207756654
"Finland","FIN",2018,0.1
"Fragile and conflict affected situations","FCS",2018,1.31960700015155
"France","FRA",2018,0.3
"Gabon","GAB",2018,3.8
"Gambia, The","GMB",2018,1.9
"Georgia","GEO",2018,0.4
"Germany","DEU",2018,0.1
"Ghana","GHA",2018,1.7
"Guatemala","GTM",2018,0.4
"Guinea","GIN",2018,1.4
"Guinea-Bissau","GNB",2018,3.5
"Guyana","GUY",2018,1.4
"Haiti","HTI",2018,2
"Heavily indebted poor countries (HIPC)","HPC",2018,2.4212426637416
"High income","HIC",2016,0.285671024381039
"Honduras","HND",2018,0.3
"Hungary","HUN",2018,0.1
"Iceland","ISL",2018,0.1
"IDA blend","IDB",2018,1.54321346122713
"IDA only","IDX",2018,1.73169468366044
"IDA total","IDA",2018,1.66838390554307
"Indonesia","IDN",2018,0.4
"Iran, Islamic Rep.","IRN",2018,0.1
"Ireland","IRL",2018,0.2
"Israel","ISR",2018,0.2
