"country","countryiso3","EN.POP.SLUM.UR.ZS_2014"
"Afghanistan","AFG",62.7
"Algeria","DZA",NA
"Angola","AGO",55.5
"Antigua and Barbuda","ATG",NA
"Arab World","ARB",32.5170967713197
"Argentina","ARG",16.7
"Armenia","ARM",14.4
"Bangladesh","BGD",55.1
"Belize","BLZ",10.8
"Benin","BEN",61.5
"Bhutan","BTN",NA
"Bolivia","BOL",43.5
"Botswana","BWA",NA
"Brazil","BRA",22.3
"Burkina Faso","BFA",65.8
"Burundi","BDI",57.9
"Cabo Verde","CPV",NA
"Cambodia","KHM",55.1
"Cameroon","CMR",37.8
"Caribbean small states","CSS",NA
"Central African Republic","CAF",93.3
"Chad","TCD",88.2
"Chile","CHL",NA
"China","CHN",25.2
"Colombia","COL",13.1
"Comoros","COM",69.6
"Congo, Dem. Rep.","COD",74.8
"Congo, Rep.","COG",46.9
"Costa Rica","CRI",5.5
"Cote d'Ivoire","CIV",56
"Djibouti","DJI",65.6
"Dominica","DMA",NA
"Dominican Republic","DOM",12.1
"Early-demographic dividend","EAR",27.0365098415163
"East Asia & Pacific","EAS",25.7938114421832
"East Asia & Pacific (excluding high income)","EAP",25.7938114421832
"East Asia & Pacific (IDA & IBRD countries)","TEA",25.7938114421832
"Ecuador","ECU",36
"Egypt, Arab Rep.","EGY",10.6
"El Salvador","SLV",NA
"Equatorial Guinea","GNQ",66.2
"Eritrea","ERI",NA
"Eswatini","SWZ",32.7
"Ethiopia","ETH",73.9
"Fragile and conflict affected situations","FCS",56.1102124230041
"Gabon","GAB",37
"Gambia, The","GMB",34.8
"Ghana","GHA",37.9
"Grenada","GRD",NA
"Guatemala","GTM",34.5
"Guinea","GIN",43.3
"Guinea-Bissau","GNB",82.3
"Guyana","GUY",33.1
"Haiti","HTI",74.4
"Heavily indebted poor countries (HIPC)","HPC",62.0610720994295
"Honduras","HND",27.5
"IBRD only","IBD",23.5517435940763
"IDA & IBRD total","IBT",29.7615150858276
"IDA blend","IDB",47.3071395916395
"IDA only","IDX",59.8202119809219
"IDA total","IDA",55.1613775712645
"India","IND",24
"Indonesia","IDN",21.8
"Iran, Islamic Rep.","IRN",NA
"Iraq","IRQ",47.2
"Jamaica","JAM",NA
"Jordan","JOR",12.9
"Kenya","KEN",56
"Korea, Dem. People’s Rep.","PRK",NA
"Lao PDR","LAO",31.4
"Late-demographic dividend","LTE",23.9295584860171
"Latin America & Caribbean","LCN",20.4001478499385
"Latin America & Caribbean (excluding high income)","LAC",20.3664949291668
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",20.4001478499385
"Least developed countries: UN classification","LDC",62.750263054409
"Lebanon","LBN",NA
"Lesotho","LSO",50.8
"Liberia","LBR",65.7
"Libya","LBY",NA
"Low & middle income","LMY",29.7655889816648
"Low income","LIC",68.3898872740002
"Lower middle income","LMC",33.4418059497151
"Madagascar","MDG",77.2
"Malawi","MWI",66.7
"Mali","MLI",56.3
"Mauritania","MRT",79.9
"Mexico","MEX",11.1
"Middle East & North Africa","MEA",NA
"Middle East & North Africa (excluding high income)","MNA",NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA
"Middle income","MIC",27.0409210586658
"Mongolia","MNG",42.7
"Morocco","MAR",13.1
"Mozambique","MOZ",80.3
"Myanmar","MMR",41
"Namibia","NAM",33.2
"Nepal","NPL",54.3
"Nicaragua","NIC",NA
"Niger","NER",70.1
"Nigeria","NGA",50.2
"Oman","OMN",NA
"Pakistan","PAK",45.5
"Panama","PAN",25.8
"Paraguay","PRY",NA
"Peru","PER",34.2
"Philippines","PHL",38.3
"Pre-demographic dividend","PRE",58.7235047399305
"Rwanda","RWA",53.2
"Sao Tome and Principe","STP",86.6
"Saudi Arabia","SAU",NA
"Senegal","SEN",39.4
"Sierra Leone","SLE",75.6
"Somalia","SOM",73.6
"South Africa","ZAF",23
"South Asia","SAS",30.4594586420106
"South Asia (IDA & IBRD)","TSA",30.4594586420106
"South Sudan","SSD",95.6
"Sri Lanka","LKA",NA
"St. Lucia","LCA",NA
"Sub-Saharan Africa","SSF",55.2811967301277
"Sub-Saharan Africa (excluding high income)","SSA",55.2811967301277
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",55.2811967301277
"Sudan","SDN",91.6
"Suriname","SUR",7.3
"Syrian Arab Republic","SYR",19.3
"Tanzania","TZA",50.7
"Thailand","THA",25
"Togo","TGO",51.2
"Trinidad and Tobago","TTO",NA
"Tunisia","TUN",8
"Turkey","TUR",11.9
"Uganda","UGA",53.6
"Upper middle income","UMC",22.9389525537561
"Venezuela, RB","VEN",NA
"Vietnam","VNM",27.2
"World","WLD",29.7615150858276
"Yemen, Rep.","YEM",60.8
"Zambia","ZMB",54
"Zimbabwe","ZWE",25.1
