"country","countryiso3","percent_women_participati.28129_2014","percent_women_participati.28129_2015","percent_women_participati.28129_2016","percent_women_participati.28129_2017","value_proportion_of_time_.28130_2014","value_proportion_of_time_.28130_2015","value_proportion_of_time_.28130_2016","value_proportion_of_time_.28130_2017","value_proportion_of_time_.28131_2014","value_proportion_of_time_.28131_2015","value_proportion_of_time_.28131_2016","value_proportion_of_time_.28131_2017"
"Afghanistan","AFG",NA,42.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angola","AGO",NA,NA,80.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Albania","ALB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Argentina","ARG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Armenia","ARM",NA,NA,80.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Australia","AUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Austria","AUT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Azerbaijan","AZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burundi","BDI",NA,NA,NA,69.3,NA,NA,NA,NA,NA,NA,NA,NA
"Belgium","BEL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Benin","BEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Burkina Faso","BFA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bangladesh","BGD",61.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bulgaria","BGR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Belarus","BLR",NA,NA,NA,NA,NA,19.1666667,NA,NA,NA,9.5138889,NA,NA
"Bolivia","BOL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","BRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bhutan","BTN",NA,NA,NA,NA,NA,15,NA,NA,NA,5.9027778,NA,NA
"Canada","CAN",NA,NA,NA,NA,NA,NA,14.5833333,NA,NA,NA,9.5833333,NA
"Switzerland","CHE",NA,NA,NA,NA,NA,NA,16.8333333,NA,NA,NA,10.8041667,NA
"Chile","CHL",NA,NA,NA,NA,NA,22.10355,NA,NA,NA,9.8539646,NA,NA
"China","CHN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cote d'Ivoire","CIV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cameroon","CMR",NA,NA,NA,NA,15.820857,NA,NA,NA,4.5678393,NA,NA,NA
"Congo, Dem. Rep.","COD",59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Congo, Rep.","COG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Colombia","COL",NA,80.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Comoros","COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Costa Rica","CRI",NA,NA,NA,NA,NA,NA,NA,22.1457084,NA,NA,NA,8.3785845
"Cuba","CUB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Germany","DEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denmark","DNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algeria","DZA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ecuador","ECU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Egypt, Arab Rep.","EGY",67.4,NA,NA,NA,NA,22.3611111,NA,NA,NA,2.4305556,NA,NA
"Eritrea","ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spain","ESP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estonia","EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ethiopia","ETH",NA,NA,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Finland","FIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fiji","FJI",NA,NA,NA,NA,NA,NA,15.1581158,NA,NA,NA,5.1947586,NA
"France","FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gabon","GAB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"United Kingdom","GBR",NA,NA,NA,NA,NA,12.6527778,NA,NA,NA,6.9652778,NA,NA
"Ghana","GHA",73.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guinea","GIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gambia, The","GMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greece","GRC",NA,NA,NA,NA,18.125,NA,NA,NA,7.0138889,NA,NA,NA
"Guatemala","GTM",NA,81.9,NA,NA,17.7670196,NA,NA,NA,2.3575079,NA,NA,NA
"Guyana","GUY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hong Kong SAR, China","HKG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honduras","HND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Haiti","HTI",NA,NA,NA,82.5,NA,NA,NA,NA,NA,NA,NA,NA
"Hungary","HUN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indonesia","IDN",NA,NA,NA,76.3,NA,NA,NA,NA,NA,NA,NA,NA
"India","IND",NA,NA,73.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ireland","IRL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iran, Islamic Rep.","IRN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Iraq","IRQ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Italy","ITA",NA,NA,NA,NA,20.4,NA,NA,NA,8.4,NA,NA,NA
"Jordan","JOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japan","JPN",NA,NA,NA,NA,NA,NA,15.1388889,NA,NA,NA,3.125,NA
"Kazakhstan","KAZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kenya","KEN",72.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","KGZ",NA,NA,NA,NA,NA,16.8055556,NA,NA,NA,9.5138889,NA,NA
"Cambodia","KHM",93.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,NA,NA,14.5791667,NA,NA,NA,3.6083333,NA,NA,NA
"Lao PDR","LAO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liberia","LBR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesotho","LSO",88.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lithuania","LTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luxembourg","LUX",NA,NA,NA,NA,14.4444444,NA,NA,NA,7.0833333,NA,NA,NA
"Latvia","LVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Morocco","MAR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Moldova","MDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Madagascar","MDG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maldives","MDV",NA,NA,NA,86.8,NA,NA,NA,NA,NA,NA,NA,NA
"Mexico","MEX",NA,NA,NA,NA,29.5219895,NA,NA,NA,9.7649549,NA,NA,NA
"Macedonia, FYR","MKD",NA,NA,NA,NA,4.27,NA,NA,NA,1.38,NA,NA,NA
"Mali","MLI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malta","MLT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Myanmar","MMR",NA,NA,74.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mongolia","MNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mozambique","MOZ",NA,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mauritius","MUS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malawi","MWI",NA,NA,55.4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malaysia","MYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Namibia","NAM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Niger","NER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nigeria","NGA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nicaragua","NIC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Netherlands","NLD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norway","NOR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nepal","NPL",NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA
"New Zealand","NZL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oman","OMN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pakistan","PAK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Panama","PAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peru","PER",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Philippines","PHL",NA,NA,NA,89.1,NA,NA,NA,NA,NA,NA,NA,NA
"Papua New Guinea","PNG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Poland","POL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Portugal","PRT",NA,NA,NA,NA,NA,17.8113542,NA,NA,NA,10.2414028,NA,NA
"Paraguay","PRY",NA,NA,NA,NA,NA,NA,14.5250208,NA,NA,NA,4.2704121,NA
"West Bank and Gaza","PSE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Qatar","QAT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Romania","ROU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Russian Federation","RUS",NA,NA,NA,NA,18.4027778,NA,NA,NA,8.125,NA,NA,NA
"Rwanda","RWA",NA,73.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Senegal","SEN",18.7,17.1,15.4,21,NA,NA,NA,NA,NA,NA,NA,NA
"Sierra Leone","SLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"El Salvador","SLV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Serbia","SRB",NA,NA,NA,NA,NA,19.1675585,NA,NA,NA,8.6903803,NA,NA
"Sao Tome and Principe","STP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Slovenia","SVN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sweden","SWE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swaziland","SWZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chad","TCD",NA,39.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Togo","TGO",47.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
