"country","countryiso3","latest.year_NE.IMP.GNFS.ZS","latest.value_NE.IMP.GNFS.ZS"
"Afghanistan","AFG",2019,37.8673794000531
"Albania","ALB",2019,45.2170766190777
"Algeria","DZA",2019,29.4746233050576
"American Samoa","ASM",2018,99.3710691823899
"Angola","AGO",2018,25.5417220484722
"Antigua and Barbuda","ATG",2016,47.8009709238472
"Arab World","ARB",2019,40.3727862033147
"Argentina","ARG",2019,15.1034479703979
"Armenia","ARM",2019,52.9099482986136
"Aruba","ABW",2017,71.6322427344178
"Australia","AUS",2019,21.5551604676553
"Austria","AUT",2019,52.0030908816733
"Azerbaijan","AZE",2019,36.8642646392674
"Bahamas, The","BHS",2018,41.2700712302306
"Bahrain","BHR",2018,71.837647467674
"Bangladesh","BGD",2019,21.4360523057267
"Barbados","BRB",2019,41.6835505855251
"Belarus","BLR",2019,66.9146361888479
"Belgium","BEL",2019,81.5640991441075
"Belize","BLZ",2019,58.0078213947803
"Benin","BEN",2019,34.0508051209549
"Bermuda","BMU",2013,29.5925155775955
"Bhutan","BTN",2018,55.8915879345426
"Bolivia","BOL",2019,31.4300442914364
"Bosnia and Herzegovina","BIH",2019,55.7280195888744
"Botswana","BWA",2019,40.5230023820302
"Brazil","BRA",2019,14.6542047944056
"Brunei Darussalam","BRN",2019,50.5636178965346
"Bulgaria","BGR",2019,60.149175878883
"Burkina Faso","BFA",2019,32.4518206977286
"Burundi","BDI",2019,32.7261686707375
"Cabo Verde","CPV",2019,65.3501023993609
"Cambodia","KHM",2019,62.4652272455591
"Cameroon","CMR",2019,23.9966836023874
"Canada","CAN",2019,33.3322337380712
"Central African Republic","CAF",2019,47.4798024232916
"Central Europe and the Baltics","CEB",2019,60.7577162259501
"Chad","TCD",2019,37.8282721194732
"Chile","CHL",2019,28.5619042468245
"China","CHN",2019,17.2648936178818
"Colombia","COL",2019,22.2006881407132
"Comoros","COM",2018,29.8465449183026
"Congo, Dem. Rep.","COD",2019,35.2217837189832
"Congo, Rep.","COG",2019,34.8031290451671
"Costa Rica","CRI",2019,32.3459747904124
"Cote d'Ivoire","CIV",2019,22.0857409934102
"Croatia","HRV",2019,51.7045653358394
"Cuba","CUB",2018,12.5931035861752
"Curacao","CUW",2014,85.3287355824135
"Cyprus","CYP",2019,71.5178913213876
"Czech Republic","CZE",2019,69.3907690914176
"Denmark","DNK",2019,49.1345994439922
"Djibouti","DJI",2019,143.553008907588
"Dominica","DMA",2019,88.2208800154105
"Dominican Republic","DOM",2019,29.2875093019101
"Early-demographic dividend","EAR",2019,27.5066563725172
"East Asia & Pacific","EAS",2018,27.9460252264522
"East Asia & Pacific (excluding high income)","EAP",2019,22.3186624778335
"East Asia & Pacific (IDA & IBRD countries)","TEA",2019,22.3194653542327
"Ecuador","ECU",2019,23.3498736197146
"Egypt, Arab Rep.","EGY",2018,29.3662955784919
"El Salvador","SLV",2019,47.6372034708674
"Equatorial Guinea","GNQ",2019,52.2474412398967
"Eritrea","ERI",NA,NA
"Estonia","EST",2019,68.5812042715851
"Eswatini","SWZ",2018,43.9119686157056
"Ethiopia","ETH",2019,20.8258738242349
"Euro area","EMU",2019,42.3393038264884
"Europe & Central Asia","ECS",2019,40.4859551184385
"Europe & Central Asia (excluding high income)","ECA",2019,28.9336283470665
"Europe & Central Asia (IDA & IBRD countries)","TEC",2019,33.1363397677404
"European Union","EUU",2019,43.5743702448619
"Faroe Islands","FRO",2015,50.3922320927899
"Finland","FIN",2019,39.4900823898899
"Fragile and conflict affected situations","FCS",2014,33.1088944005752
"France","FRA",2019,32.7510153736559
"French Polynesia","PYF",NA,NA
"Gabon","GAB",2019,21.5609013351493
"Gambia, The","GMB",2019,44.1432953468069
"Georgia","GEO",2019,62.8715593945054
"Germany","DEU",2019,41.1304985721397
"Ghana","GHA",2019,35.4014084701214
"Greece","GRC",2019,37.1969815824349
"Greenland","GRL",2018,45.0191491349158
"Grenada","GRD",2019,55.4987666085656
"Guam","GUM",2018,53.6824324324324
"Guatemala","GTM",2019,28.1695474102739
"Guinea","GIN",2019,66.4460787471487
"Guinea-Bissau","GNB",2019,33.5109169644693
"Guyana","GUY",2019,46.0682205894299
"Haiti","HTI",2019,57.4572158793734
"Heavily indebted poor countries (HIPC)","HPC",2019,32.4348265414029
"High income","HIC",2018,30.8313079802849
"Honduras","HND",2019,56.367436495052
"Hong Kong SAR, China","HKG",2019,175.524925117784
"Hungary","HUN",2019,79.6524821127639
"IBRD only","IBD",2019,25.2977449006569
"Iceland","ISL",2019,40.5967046854167
"IDA & IBRD total","IBT",2019,25.4849896394505
"IDA blend","IDB",2018,21.8608493172433
"IDA only","IDX",2019,32.5493399209827
"IDA total","IDA",2018,27.8280088943599
"India","IND",2019,21.3565685053267
"Indonesia","IDN",2019,18.8958822798066
"Iran, Islamic Rep.","IRN",2017,23.8384608001943
