"country","countryiso3","latest.year_SE.XPD.PRIM.PC.ZS","latest.value_SE.XPD.PRIM.PC.ZS"
"Afghanistan","AFG",2017,10.25174
"Albania","ALB",2017,34.18148
"Algeria","DZA",NA,NA
"Andorra","AND",2018,12.30702
"Antigua and Barbuda","ATG",NA,NA
"Argentina","ARG",2017,14.97726
"Armenia","ARM",2017,10.15365
"Aruba","ABW",2014,17.08119
"Australia","AUS",2016,19.30184
"Austria","AUT",2016,23.48041
"Bahrain","BHR",2015,11.16362
"Bangladesh","BGD",NA,NA
"Barbados","BRB",2016,20.75168
"Belgium","BEL",2016,21.87767
"Belize","BLZ",2017,16.55987
"Benin","BEN",2015,10.25321
"Bermuda","BMU",2015,8.05056
"Bhutan","BTN",2014,12.84915
"Botswana","BWA",NA,NA
"Brazil","BRA",2015,20.05496
"British Virgin Islands","VGB",2017,6.24826
"Brunei Darussalam","BRN",2016,8.87354
"Bulgaria","BGR",2013,22.99728
"Burkina Faso","BFA",2015,16.13029
"Burundi","BDI",2013,12.92904
"Cabo Verde","CPV",2017,16.65962
"Cambodia","KHM",2014,6.63865
"Cameroon","CMR",NA,NA
"Canada","CAN",2015,17.56737
"Caribbean small states","CSS",2018,21.68464
"Cayman Islands","CYM",NA,NA
"Central African Republic","CAF",NA,NA
"Central Europe and the Baltics","CEB",2016,20.29085
"Chad","TCD",NA,NA
"Chile","CHL",2017,18.38536
"China","CHN",NA,NA
"Colombia","COL",2018,16.98989
"Comoros","COM",2014,9.75717
"Congo, Dem. Rep.","COD",2013,7.19307
"Congo, Rep.","COG",NA,NA
"Costa Rica","CRI",2018,20.82721
"Cote d'Ivoire","CIV",2018,13.27872
"Cuba","CUB",NA,NA
"Curacao","CUW",2013,10.00974
"Cyprus","CYP",2016,31.88086
"Czech Republic","CZE",2016,13.8679
"Denmark","DNK",2014,25.05246
"Djibouti","DJI",2016,37.32327
"Dominica","DMA",2015,14.64306
"Dominican Republic","DOM",2018,16.18636
"East Asia & Pacific","EAS",2014,14.512445
"East Asia & Pacific (excluding high income)","EAP",2013,12.512775
"East Asia & Pacific (IDA & IBRD countries)","TEA",2014,10.691165
"Ecuador","ECU",2016,9.51098
"Egypt, Arab Rep.","EGY",2017,9.84518
"El Salvador","SLV",2018,16.10453
"Eritrea","ERI",NA,NA
"Estonia","EST",2016,20.29085
"Eswatini","SWZ",2014,16.46033
"Ethiopia","ETH",2015,7.87686
"Euro area","EMU",2016,20.279965
"Europe & Central Asia","ECS",2016,20.553325
"European Union","EUU",2016,20.26908
"Fiji","FJI",2013,12.35277
"Finland","FIN",2016,21.50883
"France","FRA",2016,17.3647
"Gabon","GAB",NA,NA
"Gambia, The","GMB",2015,8.47324
"Georgia","GEO",NA,NA
"Germany","DEU",2016,17.44257
"Ghana","GHA",2014,6.44452
"Greece","GRC",2016,20.26908
"Grenada","GRD",2017,8.17698
"Guatemala","GTM",2018,11.88315
"Guinea","GIN",2016,6.81269
"Guinea-Bissau","GNB",NA,NA
"Guyana","GUY",NA,NA
"Heavily indebted poor countries (HIPC)","HPC",2013,10.67458
"High income","HIC",2016,20.29085
"Honduras","HND",2013,21.43893
"Hong Kong SAR, China","HKG",2018,14.82783
"Hungary","HUN",2016,19.06479
"IBRD only","IBD",NA,NA
"Iceland","ISL",2016,22.10298
"IDA & IBRD total","IBT",NA,NA
"IDA only","IDX",2013,10.30013
"IDA total","IDA",NA,NA
"India","IND",2013,9.79172
"Indonesia","IDN",2015,13.28127
"Iran, Islamic Rep.","IRN",2017,11.11757
"Ireland","IRL",2016,11.84396
"Israel","ISR",2016,21.53058
"Italy","ITA",2016,19.52238
"Jamaica","JAM",2018,21.68464
"Japan","JPN",2016,21.78104
"Jordan","JOR",2018,13.30793
"Kazakhstan","KAZ",2018,0.23507
"Kenya","KEN",2015,10.95105
"Kiribati","KIR",NA,NA
"Korea, Rep.","KOR",2016,27.84732
"Kuwait","KWT",2014,14.37769
"Lao PDR","LAO",2014,9.10321
"Late-demographic dividend","LTE",2015,20.025175
"Latin America & Caribbean","LCN",2016,15.2222
"Latin America & Caribbean (excluding high income)","LAC",2016,15.2222
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",2016,15.2222
"Latvia","LVA",2016,24.50426
"Least developed countries: UN classification","LDC",2013,9.9565
"Lesotho","LSO",2018,20.7122
"Liberia","LBR",2016,14.49935
"Liechtenstein","LIE",NA,NA
"Lithuania","LTU",2016,19.49595
"Low & middle income","LMY",NA,NA
"Low income","LIC",NA,NA
"Luxembourg","LUX",2015,19.6895
"Macao SAR, China","MAC",NA,NA
"Madagascar","MDG",NA,NA
"Malawi","MWI",2016,8.15872
"Malaysia","MYS",2017,16.13708
"Maldives","MDV",2016,16.07814
"Mali","MLI",2017,12.3362
"Malta","MLT",2015,22.83451
"Marshall Islands","MHL",NA,NA
"Mauritania","MRT",2016,10.18348
"Mauritius","MUS",2018,15.56837
