"","-1","0","1","","-1","0","1",""
"ecoproso","3","0","23","Mostly positive","-0.0129854999999999","0","0.929742123611111","Mostly positive"
"c19rca","2","0","24","Mostly positive","-0.0068333333333333","0","1.0865","Mostly positive"
"ecoeff","4","12","10","Mostly positive","-0.0408215152777777","0","0.46508482361111","Mostly positive"
"stringencyindex","16","7","3","Mostly negative","-0.162789297222223","0","0.00714936388888884","Mostly negative"
"ghsscore","10","6","10","Other","-0.00754908194444445","0","0.0738015375000003","Mostly positive"
"consp","23","0","3","Mostly negative","-0.361279327777778","0","0.01725","Mostly negative"
"controlcorruption","8","5","13","Mostly positive","-0.012518172222222","0","0.0505599833333332","Mostly positive"
"doctors_per_10k","14","5","7","Mostly negative","-0.0691456972222228","0","0.0123333333333334","Mostly negative"
"migrantthreat","5","0","21","Mostly positive","-0.017655802777779","0","0.168239797222224","Mostly positive"
"govteffectiveness","12","2","12","Other","-0.0160833333333333","0","0.0585054111111126","Mostly positive"
"c19proso","9","0","17","Mostly positive","-0.0591041875000008","0","0.116164645833334","Other"
"ruleoflaw","7","4","15","Mostly positive","-0.017078363888889","0","0.0262827777777781","Other"
"deaths","8","16","2","Mostly negative","-0.0801955916666667","0","0.00306407500000003","Mostly negative"
"regulatoryquality","11","4","11","Other","-0.0230395888888883","0","0.0419469444444425","Other"
"confirmed","10","11","5","Mostly negative","-0.066210763888891","0","0.00466666666666693","Mostly negative"
"containmenthealthindex","9","7","10","Mostly positive","-0.0614351972222223","0","0.0247455972222223","Other"
"governmentresponseindex","8","7","11","Mostly positive","-0.0254824277777776","0","0.0280348972222222","Other"
"population","8","11","7","Mostly negative","-0.0104166666666666","0","0.0338481916666652","Mostly positive"
"ecohope","7","11","8","Mostly positive","-0.0116666666666663","0","0.103071080555555","Mostly positive"
"isoimmi_online","10","6","10","Other","-0.0250544083333332","0","0.113795202777777","Mostly positive"
"feelingtherm","6","8","12","Mostly positive","-0.0235660069444434","0","0.0840213305555536","Mostly positive"
"recovered","9","10","7","Mostly negative","-0.0256571499999995","0","0.0373538958333329","Other"
"airdepartures","7","11","8","Mostly positive","-0.0084052","0","0.0186896","Other"
"para","7","0","19","Mostly positive","-0.011886605555555","0","0.094488630555555","Mostly positive"
"date","17","6","3","Mostly negative","-0.0686869236111114","0","0.00604428472222249","Mostly negative"
"politicalstability","10","8","8","Mostly negative","-0.0163513083333332","0","0.0190419638888888","Other"
"nurses_and_midwifery_per_10k","12","5","9","Mostly negative","-0.0315632583333335","0","0.00816666666666671","Mostly negative"
"c19normshould","3","11","12","Mostly positive","-0.00217008333333341","0","0.134550320833333","Mostly positive"
"isoimmi_inperson","7","5","14","Mostly positive","-0.013504052777778","0","0.0600176722222221","Mostly positive"
"che_perc_of_gdp_2017","9","10","7","Mostly negative","-0.0256787333333335","0","0.0073585333333334","Mostly negative"
