"name","importance","pvalue"
"countryiso3",0.00469741907811111,1
"date",0.0100332622519356,1
"affanx",0.00210263321638712,1
"affbor",0.000865580898124293,1
"affcalm",0.00112779865135986,1
"affcontent",0.000900447942891064,1
"affdepr",0.000940269062468839,1
"affenerg",0.00115232070768342,1
"affexc",0.00117557029354618,1
"affnerv",0.00153222226090022,1
"affexh",0.00096952987020635,1
"affinsp",0.000657308436562996,1
"affrel",0.000937146672390213,1
"plrac19",0.00231837634623289,0.98019801980198
"plraeco",0.00184095355028585,1
"isofriends_inperson",0.00864343215884778,0.0099009900990099
"isoothppl_inperson",0.033815513407588,0.0099009900990099
"isoimmi_inperson",0.0393117925021037,0.0099009900990099
"isofriends_online",0.00646460301494313,0.0594059405940594
"isoothppl_online",0.00183553521676033,1
"isoimmi_online",0.00817398612379936,0.0495049504950495
"persrelsat",0.00327875764555143,1
"discpers",0.00132214085246775,0.861386138613861
"happy",0.00297639928515997,1
"lifesat",0.00401483852607476,1
"mlq",0.00359060648772173,1
"tightnorms",0.0025096224338706,1
"tightloose",0.00440776183647606,1
"tighttreat",0.00262929894643677,1
"c19know",0.00561554735362444,0.0099009900990099
"c19hope",0.0136225546940011,0.0099009900990099
"c19eff",0.00471174924197166,1
"c19normshould",0.155148796573627,0.0099009900990099
"c19normdo",0.031270030388434,0.0099009900990099
"c19isstrict",0.00252876029473796,1
"c19ispunish",0.00213154903442286,1
"c19isorg",0.00256821463479242,1
"extc19msg",0.00441920284369822,0.623762376237624
"csqc19contract",0.0129586505911007,0.0099009900990099
"csqecosuffer",0.00226096785499641,1
"csqcancpln",0.00155755359907722,1
"csqlife",0.00137624430230005,1
"ecoknow",0.00130161310782649,1
"ecohope",0.00316790508689129,1
"ecoeff",0.0028236700888414,1
"houseleave",0.0363146788928681,0.0099009900990099
"houseleavewhy_1",0.0057169168117982,0.0099009900990099
"houseleavewhy_2",0.00142353164699231,0.0396039603960396
"houseleavewhy_4",0.00373250315145547,0.0099009900990099
"houseleavewhy_7",0.00071845904802663,0.920792079207921
"houseleavewhy_6",0.000698851136079707,0.287128712871287
"tempfocpast",0.00284886495686996,0.97029702970297
"tempfocpres",0.0087601979464437,0.0099009900990099
"tempfocfut",0.0085253892980499,0.0099009900990099
"feelingtherm",0.00208008661777528,1
"idoverlap",0.000538541869305184,0.97029702970297
"relyesno",0.00040911433321087,0.99009900990099
"countrycitizen",0.000205506235456058,0.99009900990099
"citizen",0.000301302643641669,1
"immigrant",0.000390493358314675,0.99009900990099
"gender",0.00254200358692009,0.0099009900990099
"age",0.00135469495209965,1
"edu",0.00110004218400733,1
"coronaclose",0.00201439128765301,0.693069306930693
"employstatus",0.00126813135608232,1
"disc",0.00658341434078128,0.96039603960396
"jbinsec",0.00252710958599518,1
"pfs",0.00309967293786582,1
"fail",0.00366007914885761,1
"lone",0.00214357859295648,1
"probsolving",0.016654278504665,0.0099009900990099
"posrefocus",0.00332539307764605,0.425742574257426
"c19proso",0.0606541343598335,0.0099009900990099
"c19rca",0.144307330229714,0.0099009900990099
"ecoproso",0.0295571056485172,0.0099009900990099
"ecorca",0.00622626940444678,0.99009900990099
"migrantthreat",0.00317212139880717,1
"neuro",0.00426424776556777,1
"para",0.00424497850001806,1
"consp",0.0069171563153373,0.584158415841584
"population",0.00323019325591374,1
"confirmed",0.0106049791119191,1
"deaths",0.00905210802987691,1
"recovered",0.00795045155789517,1
"cancelpublicevents_flag",0.000339923553420706,1
"closepublictransport_flag",0.00371249641941117,1
"contacttracing",0.00146703823447067,0.99009900990099
"containmenthealthindex",0.0038731191407521,1
"debtcontractrelief",0.000924637772304032,1
"economicsupportindex",0.00232559185081251,1
"emergencyinvestmentinhealthcare",0.000382123444859253,0.99009900990099
"fiscalmeasures",0.000220939299087375,0.98019801980198
"governmentresponseindex",0.00474050223886622,1
"internationalsupport",-3.64817355939283e-05,0.356435643564356
"internationaltravelcontrols",0.00129133508192686,0.98019801980198
"investmentinvaccines",-6.18768946394325e-05,0.792079207920792
"restrictionsongatherings_flag",0.00178391816428702,1
"restrictionsoninternalmovement_flag",0.000609766503366676,1
"schoolclosing_flag",0.000451827354075567,1
"stayathomerequirements_flag",0.000976582969972042,1
"stringencyindex",0.00452953314708919,1
"testingpolicy",0.00115231170525388,1
"workplaceclosing_flag",0.000466805159398464,1
"ghsscore",0.0065491613092644,1
"airdepartures",0.00402382049162346,1
"tourismexpenditures",0.00442156423289552,1
"doctors_per_10k",0.0117395508074096,0.554455445544555
"nurses_and_midwifery_per_10k",0.00536132195948641,1
"che_perc_of_gdp_2017",0.0040701382736482,1
"controlcorruption",0.00415900920376165,1
"ruleoflaw",0.00447537026798514,1
"politicalstability",0.00836566830528904,0.97029702970297
"voiceaccountability",0.00539358986064634,1
"govteffectiveness",0.00599723168523382,0.98019801980198
"regulatoryquality",0.00484772969962944,1
