"country","countryiso3","SE.ADT.LITR.ZS_2013","SE.ADT.LITR.ZS_2014","SE.ADT.LITR.ZS_2015","SE.ADT.LITR.ZS_2016","SE.ADT.LITR.ZS_2017","SE.ADT.LITR.ZS_2018"
"Afghanistan","AFG",NA,NA,NA,NA,NA,43.01972
"Albania","ALB",NA,NA,NA,NA,NA,98.14115
"Algeria","DZA",NA,NA,NA,NA,NA,81.40784
"American Samoa","ASM",NA,NA,NA,NA,NA,NA
"Angola","AGO",NA,66.03011,NA,NA,NA,NA
"Antigua and Barbuda","ATG",NA,NA,98.95,NA,NA,NA
"Arab World","ARB",73.94749,74.61962,75.11764,73.69399,74.47393,74.5966
"Argentina","ARG",99.12195,98.99389,99.17996,99.12501,NA,99.00387
"Armenia","ARM",NA,NA,NA,NA,99.73607,NA
"Aruba","ABW",NA,NA,NA,NA,NA,97.80742
"Azerbaijan","AZE",99.78936,99.78899,99.78806,99.79006,99.79123,NA
"Bahrain","BHR",NA,NA,NA,97.06668,97.40389,97.46419
"Bangladesh","BGD",61.01554,61.0933,65.13733,72.75872,72.89297,73.9122
"Barbados","BRB",NA,99.6,NA,NA,NA,NA
"Belarus","BLR",NA,NA,NA,NA,NA,99.75656
"Belize","BLZ",NA,NA,NA,NA,NA,NA
"Benin","BEN",NA,NA,NA,NA,NA,42.3624
"Bhutan","BTN",NA,NA,NA,NA,66.56115,NA
"Bolivia","BOL",NA,NA,92.45508,NA,NA,NA
"Bosnia and Herzegovina","BIH",96.99177,NA,NA,NA,NA,NA
"Botswana","BWA",86.82318,NA,NA,NA,NA,NA
"Brazil","BRA",91.48424,91.72943,92.0479,92.80844,93.07582,93.2275
"Brunei Darussalam","BRN",NA,NA,NA,NA,NA,97.21411
"Bulgaria","BGR",NA,NA,NA,NA,NA,NA
"Burkina Faso","BFA",NA,34.5994,NA,NA,NA,41.22445
"Burundi","BDI",NA,61.56973,NA,NA,68.37533,NA
"Cabo Verde","CPV",NA,NA,86.79029,NA,NA,NA
"Cambodia","KHM",NA,78.05509,80.52649,NA,NA,NA
"Cameroon","CMR",NA,NA,NA,NA,NA,77.07104
"Caribbean small states","CSS",90.8723,91.0397,91.12809,NA,NA,NA
"Cayman Islands","CYM",NA,NA,NA,NA,NA,NA
"Central African Republic","CAF",NA,NA,NA,NA,NA,37.39582
"Central Europe and the Baltics","CEB",98.95481,98.96629,98.97773,98.99005,NA,NA
"Chad","TCD",NA,NA,26.00299,22.31155,NA,NA
"Chile","CHL",96.26706,NA,96.87413,NA,96.40228,NA
"China","CHN",NA,NA,NA,NA,NA,96.84089
"Colombia","COL",NA,94.18625,94.24505,94.65385,NA,95.09251
"Comoros","COM",NA,NA,NA,NA,NA,58.81702
"Congo, Dem. Rep.","COD",NA,NA,NA,77.04268,NA,NA
"Congo, Rep.","COG",NA,NA,NA,NA,NA,80.29876
"Costa Rica","CRI",NA,NA,NA,NA,NA,97.86379
"Cote d'Ivoire","CIV",NA,43.90842,NA,NA,NA,47.16535
"Croatia","HRV",NA,NA,NA,NA,NA,NA
"Cuba","CUB",NA,NA,NA,NA,NA,NA
"Cyprus","CYP",NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM",90.85815,91.76376,91.99121,93.77846,NA,NA
"Early-demographic dividend","EAR",76.49256,77.23448,77.95227,78.57369,79.01262,79.35073
"East Asia & Pacific","EAS",94.42047,94.91781,95.13715,95.25384,95.46465,95.6076
"East Asia & Pacific (excluding high income)","EAP",94.77902,95.19566,95.40914,95.52339,95.72633,95.86556
"East Asia & Pacific (IDA & IBRD countries)","TEA",94.71496,95.13672,95.3528,95.46849,95.67395,95.81489
"Ecuador","ECU",93.29463,94.22264,94.45566,94.35023,92.82979,NA
"Egypt, Arab Rep.","EGY",75.06073,NA,NA,NA,71.16825,NA
"El Salvador","SLV",86.76758,NA,87.96985,88.14177,88.48271,89.0086
"Equatorial Guinea","GNQ",NA,NA,NA,NA,NA,NA
"Eritrea","ERI",NA,NA,NA,NA,NA,76.57052
"Estonia","EST",NA,NA,NA,NA,NA,NA
"Eswatini","SWZ",NA,NA,NA,NA,NA,88.41938
"Ethiopia","ETH",NA,NA,NA,NA,51.77118,NA
"Europe & Central Asia","ECS",98.06956,98.11637,98.16487,98.25469,98.27194,98.33417
"Europe & Central Asia (excluding high income)","ECA",98.81141,98.84282,98.87197,98.98786,98.96444,99.0011
"Europe & Central Asia (IDA & IBRD countries)","TEC",98.80896,98.83761,98.86424,98.96905,98.94835,98.98185
"Fiji","FJI",NA,NA,NA,NA,99.08211,NA
"Fragile and conflict affected situations","FCS",61.16073,61.86611,62.22513,62.50688,63.33,63.75516
"Gabon","GAB",NA,NA,NA,NA,NA,84.66716
"Gambia, The","GMB",41.95005,NA,50.77797,NA,NA,NA
"Georgia","GEO",NA,99.58619,NA,NA,99.36426,NA
"Ghana","GHA",NA,NA,NA,NA,NA,79.03964
"Greece","GRC",NA,NA,NA,NA,NA,97.93595
"Grenada","GRD",NA,98.6,NA,NA,NA,NA
"Guam","GUM",NA,NA,NA,NA,NA,NA
"Guatemala","GTM",77.03867,81.2859,NA,NA,NA,NA
"Guinea","GIN",NA,32.00384,NA,NA,NA,NA
"Guinea-Bissau","GNB",NA,45.58116,NA,NA,NA,NA
"Guyana","GUY",NA,85.63973,NA,NA,NA,NA
"Haiti","HTI",NA,NA,NA,61.69135,NA,NA
"Heavily indebted poor countries (HIPC)","HPC",59.04499,59.90768,60.39487,61.19566,62.12908,62.6266
"Honduras","HND",85.46442,87.19753,87.90683,88.98748,NA,87.20524
"Hungary","HUN",NA,99.1,NA,NA,NA,NA
"IBRD only","IBD",87.73278,88.12764,88.43664,88.5859,88.8029,89.05044
"IDA & IBRD total","IBT",82.56062,82.97848,83.34816,83.71072,83.98566,84.19382
"IDA blend","IDB",64.31306,65.15158,65.56207,66.23999,67.07135,67.0462
"IDA only","IDX",60.99984,61.75931,62.8935,64.74183,65.47285,65.99904
"IDA total","IDA",62.12955,62.91562,63.80264,65.25168,66.01621,66.35453
"India","IND",NA,NA,NA,NA,NA,74.37299
"Indonesia","IDN",NA,95.11622,95.21793,95.37697,NA,95.65856
"Iran, Islamic Rep.","IRN",84.6268,84.70524,NA,85.54425,NA,NA
"Iraq","IRQ",72.7,82.2,NA,83.3,85.6,NA
"Israel","ISR",NA,NA,NA,NA,NA,NA
"Italy","ITA",NA,NA,NA,NA,NA,99.15576
"Jamaica","JAM",NA,88.1,NA,NA,NA,NA
"Jordan","JOR",NA,NA,NA,NA,NA,98.22711
"Kazakhstan","KAZ",NA,NA,NA,NA,NA,99.78163
"Kenya","KEN",NA,78.73304,NA,NA,NA,81.53497
"Korea, Dem. People’s Rep.","PRK",NA,NA,NA,NA,NA,NA
"Kuwait","KWT",95.58582,NA,95.68545,NA,96.03595,96.05647
"Kyrgyz Republic","KGZ",NA,NA,NA,NA,NA,99.586
"Lao PDR","LAO",NA,NA,84.66104,NA,NA,NA
"Late-demographic dividend","LTE",95.36598,95.53109,95.67817,95.86127,96.00959,96.1515
"Latin America & Caribbean","LCN",92.50325,92.94435,93.12883,93.591,93.70474,93.86706
