"country","countryiso3","latest.year_Value.3524","latest.year_Value.3526","latest.year_Value.3528","latest.year_Value.3530","latest.year_Value.3532","latest.year_Value.3534","latest.year_Value.3536","latest.year_Value.3538","latest.year_Value.3540","latest.year_Value.3546","latest.year_Value.3548","latest.year_Value.3550","latest.year_Value.3552","latest.year_Value.3554","latest.year_Value.3556","latest.year_Value.3558","latest.year_Value.3560","latest.year_Value.3562","latest.year_Value.3564","latest.year_Rank.3525","latest.year_Rank.3527","latest.year_Rank.3529","latest.year_Rank.3531","latest.year_Rank.3533","latest.year_Rank.3535","latest.year_Rank.3537","latest.year_Rank.3539","latest.year_Rank.3541","latest.year_Rank.3547","latest.year_Rank.3549","latest.year_Rank.3551","latest.year_Rank.3553","latest.year_Rank.3555","latest.year_Rank.3557","latest.year_Rank.3559","latest.year_Rank.3561","latest.year_Rank.3563","latest.year_Rank.3565","latest.value_Value.3524","latest.value_Value.3526","latest.value_Value.3528","latest.value_Value.3530","latest.value_Value.3532","latest.value_Value.3534","latest.value_Value.3536","latest.value_Value.3538","latest.value_Value.3540","latest.value_Value.3546","latest.value_Value.3548","latest.value_Value.3550","latest.value_Value.3552","latest.value_Value.3554","latest.value_Value.3556","latest.value_Value.3558","latest.value_Value.3560","latest.value_Value.3562","latest.value_Value.3564","latest.value_Rank.3525","latest.value_Rank.3527","latest.value_Rank.3529","latest.value_Rank.3531","latest.value_Rank.3533","latest.value_Rank.3535","latest.value_Rank.3537","latest.value_Rank.3539","latest.value_Rank.3541","latest.value_Rank.3547","latest.value_Rank.3549","latest.value_Rank.3551","latest.value_Rank.3553","latest.value_Rank.3555","latest.value_Rank.3557","latest.value_Rank.3559","latest.value_Rank.3561","latest.value_Rank.3563","latest.value_Rank.3565"
"Benin","BEN",2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2.842112832,3.927335443,3.36743671,2.151252093,1.92242708,4.293112031,NA,2.901473417,4.499693574,2.705575026,3.141914463,1.537127113,4.911534534,3.879170728,1.674764546,2.343162165,2.435829569,2.671607373,1.173246787,127,113,133,125,111,85,NA,126,75,120,129,133,65,95,126,114,121,85,126
"Burkina Faso","BFA",2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2.667276328,3.359252944,3.558176428,2.018132481,1.733543458,4.053477744,4.902894234,2.782466993,3.30673773,1.750688018,3.554037713,1.598650907,4.606830492,4.473186599,1.587227187,2.133421049,2.333749206,2.178213581,1.288873335,136,133,125,138,124,103,94,134,134,139,122,136,75,35,136,134,131,117,114
"Bangladesh","BGD",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2.890047203,3.802030751,3.421493195,2.324706148,2.01195872,4.096403846,4.426817319,4.339690552,3.801193377,3.082063695,3.183047343,2.471692843,4.656018155,3.375214438,1.932062065,3.107621496,1.934434881,2.387576586,1.636340853,125,119,130,115,106,104,115,107,121,116,127,104,89,128,113,74,133,107,74
"Bulgaria","BGR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.13603739,5.205998938,4.609357878,3.759863669,2.968929074,4.495295393,5.241388139,6.627369265,4.734593674,5.034286626,4.272371452,3.888568035,5.310691799,4.965800225,2.37376556,3.110277966,5.795547481,3.819512389,2.118345759,45,47,19,53,45,61,78,10,54,48,92,48,37,11,80,73,14,41,52
"Bahrain","BHR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.893248625,5.407832364,4.137265752,4.530633079,1.497263305,5.502535736,5.33390675,5.174043395,4.657752684,6.006765931,4.315359551,2.874540779,5.534085584,3.825077093,3.45938951,5.205730714,4.926779013,1.672867551,1.321659059,60,33,80,31,135,12,71,76,61,16,88,84,21,100,45,13,35,135,112
"Bosnia and Herzegovina","BIH",2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.1198819,4.608438371,3.570856792,2.709648157,1.59058428,3.54669447,NA,5.662751917,4.172401231,4.293449655,3.679677181,2.38848131,4.327785228,3.887483448,1.760872327,2.48032831,3.887743833,1.808427586,1.372740974,113,76,121,97,131,127,NA,58,100,75,111,108,110,94,123,106,78,134,102
"Bolivia","BOL",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.337886662,4.046867788,3.745827371,2.565022776,2.993828713,3.000155519,4.645771356,4.428481352,4.039490531,3.752650441,3.616496138,2.783562621,4.335684636,4.247566091,2.234428409,2.17933668,3.28130324,3.958732729,2.028924698,99,109,115,103,43,133,108,103,111,95,114,88,109,57,86,122,90,36,55
"Brazil","BRA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.4942443,4.439374203,3.961633733,3.638725143,5.937244121,3.489953053,4.680971205,5.317598824,4.271365841,4.619892284,3.871344246,2.591185773,5.252972411,4.1310325,3.678992401,2.356769911,4.880413116,6.125152621,5.749335621,27,90,99,61,2,129,104,70,93,63,106,96,41,66,40,112,39,1,8
"Barbados","BRB",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.905062961,5.178548093,4.090779979,4.631619845,1.719303926,4.416368452,5.753066002,6.046010713,4.660796772,5.174065926,5.798232035,2.847411573,3.047006409,4.670469898,3.802145801,5.190359795,4.902353939,2.257051984,1.181555869,58,50,83,25,125,71,44,41,59,42,8,85,134,27,35,14,37,118,123
"Bhutan","BTN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.606190688,4.73851976,4.646794142,2.651861437,2.387587415,4.720216764,6.022218806,4.615156704,4.34311435,3.925198273,5.003786673,2.933293163,6.000157995,4.649938737,2.706317065,2.540649368,2.708617878,3.522696377,1.252478452,78,70,17,100,73,48,26,96,89,87,36,80,6,28,67,104,109,51,121
"Botswana","BWA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.518101569,4.506914573,4.254179218,2.874875874,2.436436609,5.072170228,5.151604908,3.508301718,4.548306532,4.061633166,4.580162915,2.157449089,5.744173517,4.53493135,2.23332646,2.839418475,3.551882687,3.523324294,1.349548924,85,83,68,89,70,30,84,118,72,83,70,118,13,36,87,89,84,50,106
"Canada","CAN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.970828626,5.599485071,4.365705575,5.561702175,4.356421681,5.250677999,6.0497763,5.591415876,5.471304674,5.586649613,4.875507977,3.321401897,4.527765044,4.738147383,6.761152177,3.955944869,5.96800948,4.574888262,4.1379551,9,23,56,7,14,23,21,59,14,28,43,61,97,20,1,43,10,19,15
"Switzerland","CHE",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.942676706,6.206600928,4.58047176,5.67653803,3.307096108,5.998063842,6.315320235,6.528018492,5.743443719,6.35373019,5.576230858,4.130245854,2.811745327,5.803664999,4.935344172,5.890504783,6.203765136,3.744172551,2.870019665,10,2,27,3,33,3,11,13,2,3,13,30,136,1,11,4,6,43,35
"Chile","CHL",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.063111138,5.105805732,4.65402246,3.505287789,2.987328572,4.982612833,5.975060575,5.18525614,4.755680962,4.880919574,4.56915849,4.65329918,5.279291582,4.114340589,2.744591868,3.325769174,4.445502325,3.302122511,2.672534633,48,54,15,63,44,33,30,74,53,53,72,3,39,69,64,61,56,59,40
"China","CHN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.723815409,4.887408887,4.08099398,3.829404314,6.097454453,4.235473528,5.469483958,5.417463945,5.186017201,4.612502553,4.796501673,2.999636954,5.30051878,3.227318515,4.306661548,3.951759976,3.229791419,5.251158906,6.94375,15,63,84,51,1,92,58,67,25,64,50,72,38,132,24,44,92,5,1
"Cote d'Ivoire","CIV",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.163351738,3.826277877,3.693419323,2.776667566,2.357042184,4.323872287,4.678475448,2.556655997,3.742483224,3.539054305,3.529332806,2.615067169,4.352149489,4.27712783,2.180371979,3.201954117,2.947676602,3.454143039,1.259941329,109,118,117,93,75,81,105,134,124,104,118,94,107,55,91,67,101,54,120
"Cameroon","CMR",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2.876633236,3.686055573,3.413882371,2.107622543,2.298972455,4.009589149,5.285131608,3.14095136,4.351661752,2.674494132,2.757279781,1.795628817,4.989085974,4.113534911,1.630597936,2.247561611,2.444708082,3.294304877,1.303640034,126,121,131,126,81,117,77,121,88,122,132,127,58,70,127,120,119,60,114
"Congo, Dem. Rep.","COD",2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2.63786684,3.270722345,2.803579849,1.770500509,2.706664656,4.07728622,NA,2.769831635,3.876469468,1.589414007,1.892194209,1.509130151,3.842674468,3.970320568,1.606931056,1.791644008,1.912926463,4.055486175,1.357843137,133,132,136,136,55,107,NA,129,118,135,136,135,126,87,128,136,134,33,104
"Colombia","COL",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.8299357,4.118684612,4.3323657,2.947812328,3.92088016,4.023322758,2.819896565,4.987024274,4.621490867,4.374865208,4.130207434,4.641379038,4.383613818,4.174262511,2.83183829,2.320499583,3.691099112,4.470499582,3.371260738,62,106,62,86,17,111,140,86,66,69,97,4,103,62,60,116,82,22,20
"Cabo Verde","CPV",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.552187355,4.569046681,4.336438714,3.732665632,1.570598392,4.431629657,5.180064606,4.666198119,4.526944815,4.032399738,4.61641622,3.152977767,5.173497674,4.402863195,3.530909198,3.067929947,4.599157751,2.086924838,1.054271945,83,80,61,56,132,69,81,95,73,84,65,65,49,44,43,76,52,127,134
"Costa Rica","CRI",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.224876052,4.998447723,4.593413401,3.716260646,3.591382437,4.49508167,5.583460673,5.013132168,4.889270887,5.167201564,5.215514176,4.23148286,4.338803808,4.587852759,3.177513051,2.644949666,5.32631922,5.4348024,1.747962474,38,59,23,57,23,62,52,84,42,43,24,21,108,32,48,99,30,3,66
"Cyprus","CYP",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.02196274,5.182105397,4.449153838,4.118227998,2.338363726,4.58777925,6.001182426,5.809685542,4.921608081,4.769975082,5.712256521,3.768049718,4.266445486,4.049863629,3.054081528,3.667276007,5.633326458,2.901706785,1.775020668,52,49,42,44,76,56,27,51,35,59,10,51,111,80,50,51,20,75,64
"Czech Republic","CZE",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.222107622,5.532857193,4.538986511,4.377483033,2.439103751,4.458317384,5.707796496,6.691083993,4.998901066,5.600219254,4.213878283,4.168070312,4.901235901,4.872761548,3.098749397,4.937203273,5.096496429,2.468011474,2.410196027,39,27,32,37,69,65,46,7,33,26,94,24,67,14,49,18,32,98,42
"Germany","DEU",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,5.283698744,5.85090941,4.593267692,5.561805427,5.128812447,5.34022856,6.064792603,6.864043068,5.552083035,5.849252736,4.756540701,4.258547156,4.166030332,5.191952577,4.924334699,5.758782918,6.002298664,3.976184564,6.28144033,3,12,24,6,9,18,20,1,7,21,52,18,115,7,12,5,9,35,6
"Denmark","DNK",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.429190747,5.948555787,4.42881498,4.564869719,2.774522501,5.482544277,5.878919853,6.128875024,5.664882422,6.414202357,4.435098313,4.359471632,3.754234758,5.166455218,3.489451039,5.437936383,4.767221736,3.26671902,2.282325983,31,7,49,30,52,14,34,33,3,2,80,11,129,8,44,9,41,61,43
"Dominican Republic","DOM",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.623781899,4.280376785,4.303133876,3.60739501,2.304221925,4.156062261,4.301005957,4.931325851,4.124063515,3.692681106,5.840893172,3.294190527,4.42633289,3.651118915,2.768829457,3.454197583,4.599157991,3.162971766,1.445472084,76,99,65,62,80,100,120,88,107,97,7,62,102,114,62,58,51,63,94
"Algeria","DZA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.069788126,4.399511453,3.528200467,2.222735977,2.128704606,4.034374028,4.896317586,4.917458545,4.021519796,3.743648753,2.843332612,1.51089122,6.032739251,3.725838783,2.075634411,2.533441052,2.059132468,2.15773844,2.099670772,118,93,124,122,94,110,95,89,112,96,131,134,4,106,100,105,131,124,53
"Ecuador","ECU",2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,NA,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.911033259,4.464279318,4.410705863,3.335704746,3.433443111,3.90479734,NA,5.057213194,4.248310828,3.911796654,4.688465608,3.862207511,5.098956609,3.993193722,2.462667027,3.603038386,3.941408825,4.852703802,2.01418242,57,88,51,67,30,120,NA,81,95,88,58,49,50,86,75,52,75,11,56
"Egypt, Arab Rep.","EGY",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.643989305,4.211028057,4.445255043,3.018904941,2.900769179,4.340870997,3.403930319,5.399740691,4.149535321,3.879013631,4.984678247,2.492096773,6.178802813,4.125442337,2.867310791,2.969470228,3.219933805,2.489215835,3.312322523,74,102,44,82,48,78,136,68,102,89,37,102,2,67,59,82,93,97,22
"Spain","ESP",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,5.426412613,5.453703695,4.754837662,5.616520606,5.880588488,4.391660912,5.966717466,6.279559944,4.939717675,5.49570458,5.91354353,3.949139398,4.524486277,4.632181445,4.996326297,5.18884522,6.6643903,4.911176975,6.85,1,30,7,4,3,75,31,24,34,29,5,43,98,31,9,15,2,9,2
"Estonia","EST",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.226438423,5.812444721,4.773027039,4.304617824,2.015664107,5.225382332,6.0370313,6.270994864,5.204343385,6.100386974,5.452209607,3.671753546,5.069570667,4.898574336,3.008556603,4.446964044,5.458332823,2.445405961,1.585922254,37,17,6,39,104,25,23,25,24,12,16,56,52,12,53,31,22,101,78
"Ethiopia","ETH",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,3.099846933,3.919240397,3.841926993,2.313118895,2.325101446,3.956762011,5.180378625,4.469648692,3.666338264,2.604945569,3.611979958,2.589275528,4.918210636,4.24824185,1.974861133,2.795552199,2.168943353,2.99193294,1.658269952,116,115,106,116,79,118,80,102,125,125,115,97,64,56,111,90,129,69,70
"Finland","FIN",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,4.398288468,6.068371794,4.603031939,4.436137794,2.485612346,5.649166497,6.702561202,6.29208494,5.554653882,6.192127377,4.587059526,4.120248263,4.258519277,5.446300689,3.994121013,4.638964495,4.675327876,2.878251963,2.092972729,33,3,22,34,64,9,1,23,6,6,68,31,112,5,30,24,44,76,54
"France","FRA",2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,5.322583913,5.536282903,4.581072057,5.416042472,5.756938219,4.735951588,5.436950502,6.517473477,5.141792332,5.857477368,5.140224853,4.242757205,4.115932657,4.825373513,4.897255244,5.648498133,5.70237404,4.767001438,6.746875,2,26,26,9,4,46,62,14,28,20,27,19,118,17,13,7,17,13,3
