"x1","train"
1,TRUE
2,FALSE
3,TRUE
4,TRUE
5,TRUE
6,TRUE
7,TRUE
8,FALSE
9,FALSE
10,TRUE
11,TRUE
12,TRUE
13,TRUE
14,TRUE
15,TRUE
16,TRUE
17,TRUE
18,TRUE
19,FALSE
20,TRUE
21,TRUE
22,TRUE
23,TRUE
24,FALSE
25,TRUE
26,TRUE
27,TRUE
28,TRUE
29,TRUE
30,FALSE
31,TRUE
32,TRUE
33,TRUE
34,FALSE
35,TRUE
36,TRUE
37,TRUE
38,TRUE
39,FALSE
40,TRUE
41,TRUE
42,TRUE
43,TRUE
44,TRUE
45,FALSE
46,TRUE
47,TRUE
48,TRUE
49,TRUE
50,TRUE
51,TRUE
52,TRUE
53,TRUE
54,TRUE
55,TRUE
56,FALSE
57,FALSE
58,TRUE
59,FALSE
60,FALSE
61,FALSE
62,TRUE
63,TRUE
64,FALSE
65,FALSE
66,FALSE
67,FALSE
68,TRUE
69,TRUE
70,TRUE
71,TRUE
72,TRUE
73,TRUE
74,TRUE
75,FALSE
76,TRUE
77,TRUE
78,TRUE
79,TRUE
80,TRUE
81,TRUE
82,FALSE
83,TRUE
84,TRUE
85,FALSE
86,FALSE
87,TRUE
88,TRUE
89,TRUE
90,FALSE
91,TRUE
92,TRUE
93,FALSE
94,TRUE
95,FALSE
96,TRUE
97,FALSE
98,TRUE
99,TRUE
100,TRUE
101,TRUE
102,FALSE
103,FALSE
104,TRUE
105,TRUE
106,FALSE
107,TRUE
108,TRUE
109,TRUE
110,TRUE
111,TRUE
112,FALSE
113,TRUE
114,TRUE
115,TRUE
116,TRUE
117,TRUE
118,FALSE
119,TRUE
120,TRUE
121,FALSE
122,TRUE
123,TRUE
124,TRUE
125,FALSE
126,TRUE
127,TRUE
128,TRUE
129,TRUE
130,TRUE
131,TRUE
132,TRUE
133,TRUE
134,TRUE
135,FALSE
136,TRUE
137,TRUE
138,TRUE
139,FALSE
140,TRUE
141,TRUE
142,TRUE
143,FALSE
144,FALSE
145,TRUE
146,TRUE
147,FALSE
148,TRUE
149,TRUE
150,TRUE
151,FALSE
152,TRUE
153,FALSE
154,TRUE
155,TRUE
156,TRUE
157,TRUE
158,TRUE
159,TRUE
160,TRUE
161,FALSE
162,TRUE
163,TRUE
164,TRUE
165,TRUE
166,TRUE
167,FALSE
168,TRUE
169,TRUE
170,TRUE
171,TRUE
172,TRUE
173,TRUE
174,FALSE
175,TRUE
176,FALSE
177,TRUE
178,TRUE
179,TRUE
180,FALSE
181,FALSE
182,FALSE
183,TRUE
184,TRUE
185,TRUE
186,FALSE
187,FALSE
188,TRUE
189,TRUE
190,TRUE
191,TRUE
192,TRUE
193,TRUE
194,TRUE
195,TRUE
196,TRUE
197,TRUE
198,TRUE
199,TRUE
200,FALSE
201,TRUE
202,FALSE
203,TRUE
204,FALSE
205,TRUE
206,TRUE
207,TRUE
208,TRUE
209,TRUE
210,FALSE
211,TRUE
212,TRUE
213,FALSE
214,TRUE
215,FALSE
216,FALSE
217,TRUE
218,FALSE
219,TRUE
220,TRUE
221,TRUE
222,TRUE
223,TRUE
224,TRUE
225,TRUE
226,TRUE
227,TRUE
228,TRUE
229,TRUE
230,FALSE
231,FALSE
232,TRUE
233,TRUE
234,FALSE
235,TRUE
236,TRUE
237,FALSE
238,TRUE
239,TRUE
240,TRUE
241,TRUE
242,TRUE
243,FALSE
244,TRUE
245,TRUE
246,FALSE
247,FALSE
248,TRUE
249,TRUE
250,TRUE
251,TRUE
252,TRUE
253,TRUE
254,TRUE
255,TRUE
256,FALSE
257,TRUE
258,TRUE
259,TRUE
260,FALSE
261,FALSE
262,TRUE
263,TRUE
264,TRUE
265,FALSE
266,TRUE
267,TRUE
268,TRUE
269,TRUE
270,TRUE
271,TRUE
272,TRUE
273,TRUE
274,TRUE
275,FALSE
276,FALSE
277,TRUE
278,TRUE
279,FALSE
280,FALSE
281,TRUE
282,TRUE
283,TRUE
284,TRUE
285,TRUE
286,FALSE
287,TRUE
288,FALSE
289,TRUE
290,TRUE
291,TRUE
292,TRUE
293,TRUE
294,TRUE
295,TRUE
296,TRUE
297,TRUE
298,FALSE
299,TRUE
300,TRUE
301,TRUE
302,FALSE
303,FALSE
304,FALSE
305,TRUE
306,FALSE
307,TRUE
308,FALSE
309,TRUE
310,TRUE
311,FALSE
312,TRUE
313,FALSE
314,FALSE
315,TRUE
316,TRUE
317,TRUE
318,TRUE
319,FALSE
320,TRUE
321,TRUE
322,TRUE
323,TRUE
324,TRUE
325,TRUE
326,FALSE
327,TRUE
328,TRUE
329,TRUE
330,TRUE
331,TRUE
332,TRUE
333,TRUE
334,TRUE
