"country","countryiso3","SE.XPD.SECO.PC.ZS_2013","SE.XPD.SECO.PC.ZS_2014","SE.XPD.SECO.PC.ZS_2015","SE.XPD.SECO.PC.ZS_2016","SE.XPD.SECO.PC.ZS_2017","SE.XPD.SECO.PC.ZS_2018"
"Kenya","KEN",NA,NA,NA,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,NA,28.17817,NA,NA
"Kuwait","KWT",NA,17.29438,NA,NA,NA,NA
"Lao PDR","LAO",14.51405,12.53244,NA,NA,NA,NA
"Late-demographic dividend","LTE",20.0836,NA,NA,NA,NA,NA
"Latin America & Caribbean","LCN",15.885795,15.39478,15.20393,15.0163,NA,NA
"Latin America & Caribbean (excluding high income)","LAC",15.885795,15.39478,14.997425,14.91552,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",15.53822,15.2483,15.20393,15.0163,NA,NA
"Latvia","LVA",36.94747,27.415,28.27553,26.43476,NA,NA
"Least developed countries: UN classification","LDC",NA,NA,NA,NA,NA,NA
"Lebanon","LBN",6.3953,NA,NA,NA,NA,NA
"Lesotho","LSO",NA,NA,NA,NA,NA,29.99591
"Liberia","LBR",NA,NA,17.73005,NA,NA,NA
"Liechtenstein","LIE",NA,NA,NA,NA,NA,NA
"Lithuania","LTU",18.30123,18.28679,17.42974,17.89823,NA,NA
"Low income","LIC",NA,NA,NA,NA,NA,NA
"Luxembourg","LUX",19.89466,20.53711,19.40807,NA,NA,NA
"Macao SAR, China","MAC",NA,NA,NA,NA,NA,NA
"Madagascar","MDG",NA,NA,NA,NA,NA,NA
"Malawi","MWI",23.88129,20.54724,26.41518,24.02977,NA,NA
"Malaysia","MYS",20.06423,NA,NA,21.14754,22.59321,22.81098
"Mali","MLI",24.59454,21.93312,23.14329,20.51885,25.49535,NA
"Malta","MLT",39.16536,34.51957,29.54522,NA,NA,NA
"Marshall Islands","MHL",NA,NA,NA,NA,NA,NA
"Mauritania","MRT",15.27856,NA,17.85968,14.17252,NA,NA
"Mauritius","MUS",19.19303,28.72759,30.67578,31.32815,31.95951,31.32456
"Mexico","MEX",15.53822,15.39478,15.20393,14.42638,NA,NA
"Middle East & North Africa (excluding high income)","MNA",NA,NA,NA,NA,NA,NA
"Middle East & North Africa (IDA & IBRD countries)","TMN",NA,NA,NA,NA,NA,NA
"Moldova","MDA",NA,32.40743,32.85989,30.51211,30.9975,31.08682
"Monaco","MCO",8.47234,5.0766,NA,4.9479,NA,NA
"Mongolia","MNG",NA,NA,NA,NA,NA,NA
"Morocco","MAR",NA,NA,NA,NA,NA,NA
"Mozambique","MOZ",50.23933,NA,NA,NA,NA,NA
"Myanmar","MMR",NA,NA,NA,NA,11.39294,10.30288
"Namibia","NAM",NA,NA,NA,NA,NA,NA
"Nepal","NPL",9.68304,11.22859,10.45324,NA,NA,NA
"Netherlands","NLD",NA,NA,22.73967,23.12418,NA,NA
"New Zealand","NZL",21.67271,21.18582,20.84411,21.11448,NA,NA
"Nicaragua","NIC",NA,NA,NA,NA,NA,NA
"Niger","NER",51.99767,73.18089,65.02605,20.61046,17.13543,NA
"North America","NAC",22.58939,22.36455,21.68055,22.1348,NA,NA
"Norway","NOR",24.491,24.28563,26.35316,26.78578,NA,NA
"OECD members","OED",23.18698,22.973355,22.54295,22.30415,NA,NA
"Oman","OMN",20.53883,NA,NA,34.97368,36.02522,NA
"Other small states","OSS",NA,NA,NA,NA,NA,NA
"Pakistan","PAK",10.87309,13.9479,16.02248,NA,NA,NA
"Panama","PAN",NA,NA,NA,NA,NA,NA
"Paraguay","PRY",NA,NA,NA,11.92418,NA,NA
"Peru","PER",10.23723,12.77849,13.8863,13.93289,15.06599,14.64931
"Philippines","PHL",NA,NA,NA,NA,NA,NA
"Poland","POL",22.88532,22.73332,22.34623,22.56102,NA,NA
"Portugal","PRT",30.61593,29.07866,27.69333,NA,NA,NA
"Post-demographic dividend","PST",24.117755,23.775505,23.05669,23.048605,NA,NA
"Puerto Rico","PRI",20.60727,20.17815,NA,NA,NA,NA
"Qatar","QAT",NA,NA,NA,NA,NA,NA
"Romania","ROU",13.97064,16.27173,16.19413,15.1606,NA,NA
"Rwanda","RWA",37.42272,NA,31.21191,37.14513,NA,21.67381
"Samoa","WSM",NA,NA,NA,13.02062,NA,NA
"San Marino","SMR",NA,NA,NA,NA,NA,NA
"Sao Tome and Principe","STP",19.08887,8.55706,NA,NA,NA,NA
"Saudi Arabia","SAU",NA,NA,NA,NA,NA,NA
"Senegal","SEN",20.89553,24.6833,20.54068,11.42773,NA,11.4156
"Serbia","SRB",NA,NA,11.11718,NA,NA,NA
"Seychelles","SYC",12.4966,16.57061,NA,15.29976,NA,NA
"Sierra Leone","SLE",8.67264,NA,NA,5.51217,14.26684,NA
"Singapore","SGP",NA,NA,NA,NA,21.63771,NA
"Slovak Republic","SVK",20.10297,20.95832,21.11401,20.08462,NA,NA
"Slovenia","SVN",25.82525,25.09888,23.9989,23.0407,NA,NA
"Small states","SST",NA,NA,NA,NA,NA,NA
"South Africa","ZAF",NA,NA,19.08402,NA,19.5657,21.375
"South Asia","SAS",10.87309,12.03027,10.45324,11.98575,NA,NA
"South Asia (IDA & IBRD)","TSA",10.87309,12.03027,10.45324,11.98575,NA,NA
"South Sudan","SSD",NA,NA,NA,11.94795,NA,NA
"Spain","ESP",18.50276,18.22419,18.49989,18.88163,NA,NA
"Sri Lanka","LKA",6.2864,NA,NA,14.07718,11.52081,7.6737
"St. Kitts and Nevis","KNA",NA,NA,12.43709,17.55246,NA,NA
"St. Lucia","LCA",21.05807,23.02499,26.01769,24.94055,NA,22.74112
"St. Vincent and the Grenadines","VCT",21.59453,21.91968,21.10035,20.37058,19.96642,20.13922
"Sweden","SWE",24.79329,24.47355,23.58743,23.75742,NA,NA
"Switzerland","CHE",26.41812,26.39044,24.45516,NA,NA,NA
"Syrian Arab Republic","SYR",NA,NA,NA,NA,NA,NA
"Tanzania","TZA",NA,14.94763,NA,NA,NA,NA
"Thailand","THA",17.99841,NA,NA,NA,NA,NA
"Timor-Leste","TLS",4.35806,7.92381,NA,NA,NA,NA
"Togo","TGO",NA,NA,NA,NA,NA,NA
"Tonga","TON",NA,NA,NA,NA,NA,NA
"Tunisia","TUN",NA,NA,52.39924,NA,NA,NA
"Turkey","TUR",11.77253,11.23364,11.56828,13.5129,NA,NA
"Turks and Caicos Islands","TCA",NA,NA,23.00828,NA,NA,18.42415
"Ukraine","UKR",30.44893,25.91332,NA,25.63448,30.26498,NA
"United Arab Emirates","ARE",NA,NA,NA,NA,NA,NA
"United Kingdom","GBR",22.60496,22.87626,23.05669,21.18688,NA,NA
"United States","USA",22.58939,22.36455,21.68055,22.1348,NA,NA
"Upper middle income","UMC",NA,NA,NA,NA,NA,NA
"Uruguay","URY",NA,NA,NA,15.93141,16.15909,NA
"Vanuatu","VUT",NA,NA,21.02094,NA,NA,NA
"Venezuela, RB","VEN",NA,NA,14.79092,NA,NA,NA
"World","WLD",20.0836,NA,NA,NA,NA,NA
"Yemen, Rep.","YEM",NA,NA,NA,NA,NA,NA
"Zimbabwe","ZWE",22.24428,NA,NA,NA,NA,NA
