"country","countryiso3","latest.year_score_consultation_on_pro.40853","latest.value_score_consultation_on_pro.40853","latest.year_score_publication_of_forw.40868","latest.value_score_publication_of_forw.40868","latest.year_score_laws_are_made_publi.40869","latest.value_score_laws_are_made_publi.40869","latest.year_score_report_back_on_the_.40994","latest.value_score_report_back_on_the_.40994","latest.year_score_conduct_regulatory_.40995","latest.value_score_conduct_regulatory_.40995","latest.year_score_regulatory_governan.41031","latest.value_score_regulatory_governan.41031"
"Afghanistan","AFG",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Angola","AGO",2018,0,2018,0.75,2018,1,2018,0,2018,0,2018,1.75
"Albania","ALB",2018,0.75,2018,0.75,2018,1,2018,0,2018,1,2018,3.5
"United Arab Emirates","ARE",2018,0.25,2018,0.75,2018,1,2018,0.25,2018,1,2018,3.25
"Argentina","ARG",2018,0.75,2018,0,2018,1,2018,0.5,2018,0,2018,2.25
"Armenia","ARM",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Antigua and Barbuda","ATG",2018,0.25,2018,0,2018,1,2018,0,2018,0,2018,1.25
"Australia","AUS",2018,1,2018,0,2018,1,2018,0.75,2018,1,2018,3.75
"Austria","AUT",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Azerbaijan","AZE",2018,1,2018,1,2018,1,2018,0,2018,0,2018,3
"Burundi","BDI",2018,0.5,2018,0,2018,0,2018,0.5,2018,0,2018,1
"Belgium","BEL",2018,0.75,2018,0,2018,1,2018,1,2018,1,2018,3.75
"Benin","BEN",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Burkina Faso","BFA",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Bangladesh","BGD",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Bulgaria","BGR",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Bahrain","BHR",2018,0,2018,0,2018,1,2018,0,2018,1,2018,2
"Bahamas, The","BHS",2018,0.25,2018,0,2018,1,2018,0,2018,0,2018,1.25
"Bosnia and Herzegovina","BIH",2018,1,2018,0,2018,1,2018,1,2018,0.5,2018,3.5
"Belarus","BLR",2018,0.75,2018,1,2018,1,2018,0.75,2018,0,2018,3.5
"Belize","BLZ",2018,0.5,2018,0,2018,0.5,2018,0.5,2018,0,2018,1.5
"Bolivia","BOL",2018,0.25,2018,1,2018,1,2018,0.25,2018,0.5,2018,3
"Brazil","BRA",2018,0.75,2018,0.75,2018,1,2018,0.75,2018,0.5,2018,3.75
"Barbados","BRB",2018,0.5,2018,0,2018,1,2018,0.25,2018,0.75,2018,2.5
"Brunei Darussalam","BRN",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Bhutan","BTN",2018,1,2018,0,2018,1,2018,0,2018,1,2018,3
"Botswana","BWA",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Central African Republic","CAF",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Canada","CAN",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Switzerland","CHE",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Chile","CHL",2018,0.75,2018,0,2018,1,2018,0.75,2018,0.75,2018,3.25
"China","CHN",2018,1,2018,0.75,2018,0,2018,0,2018,0,2018,1.75
"Cote d'Ivoire","CIV",2018,0.25,2018,0.75,2018,0.5,2018,0,2018,0,2018,1.5
"Cameroon","CMR",2018,0.25,2018,0,2018,1,2018,0,2018,0,2018,1.25
"Congo, Dem. Rep.","COD",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Congo, Rep.","COG",2018,0,2018,0,2018,0.5,2018,0,2018,0.75,2018,1.25
"Colombia","COL",2018,1,2018,0.75,2018,1,2018,0.75,2018,0.75,2018,4.25
"Comoros","COM",2018,0.5,2018,0,2018,0.5,2018,0.5,2018,0,2018,1.5
"Cabo Verde","CPV",2018,0,2018,0.75,2018,1,2018,0,2018,0,2018,1.75
"Costa Rica","CRI",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Cyprus","CYP",2018,1,2018,0,2018,1,2018,1,2018,1,2018,4
"Czech Republic","CZE",2018,1,2018,1,2018,1,2018,0,2018,1,2018,4
"Germany","DEU",2018,0.75,2018,1,2018,1,2018,0.75,2018,1,2018,4.5
"Djibouti","DJI",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Dominica","DMA",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Denmark","DNK",2018,1,2018,1,2018,1,2018,1,2018,0.75,2018,4.75
"Dominican Republic","DOM",2018,0.25,2018,0,2018,1,2018,0.25,2018,0,2018,1.5
"Algeria","DZA",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Ecuador","ECU",2018,0,2018,0,2018,0.5,2018,0,2018,0,2018,0.5
"Egypt, Arab Rep.","EGY",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"Eritrea","ERI",2018,0,2018,0,2018,0,2018,0,2018,0,2018,0
"Spain","ESP",2018,0.75,2018,1,2018,1,2018,1,2018,1,2018,4.75
"Estonia","EST",2018,1,2018,1,2018,1,2018,1,2018,1,2018,5
"Ethiopia","ETH",2018,0,2018,0,2018,1,2018,0,2018,0,2018,1
"Finland","FIN",2018,1,2018,1,2018,1,2018,0,2018,1,2018,4
"Fiji","FJI",2018,0.5,2018,0,2018,1,2018,0,2018,0,2018,1.5
"France","FRA",2018,0.75,2018,1,2018,1,2018,0.75,2018,1,2018,4.5
"Micronesia, Fed. Sts.","FSM",2018,0.5,2018,0,2018,0,2018,0,2018,0,2018,0.5
