"country","countryiso3","SE.XPD.TERT.PC.ZS_2013","SE.XPD.TERT.PC.ZS_2014","SE.XPD.TERT.PC.ZS_2015","SE.XPD.TERT.PC.ZS_2016","SE.XPD.TERT.PC.ZS_2017","SE.XPD.TERT.PC.ZS_2018"
"Caribbean small states","CSS",42.04212,NA,36.59035,NA,NA,NA
"Central African Republic","CAF",NA,NA,NA,NA,NA,NA
"Central Europe and the Baltics","CEB",25.40906,25.51264,24.80784,25.40887,NA,NA
"Chad","TCD",NA,NA,NA,NA,NA,NA
"Chile","CHL",17.36471,17.21655,18.41495,19.98293,20.25927,NA
"China","CHN",NA,NA,NA,NA,NA,NA
"Colombia","COL",19.07659,20.32313,19.8043,20.69567,20.39852,21.64385
"Comoros","COM",27.62387,24.82556,NA,NA,NA,NA
"Congo, Dem. Rep.","COD",72.92908,NA,NA,NA,NA,NA
"Congo, Rep.","COG",88.05028,NA,NA,NA,NA,NA
"Costa Rica","CRI",32.4646,32.95088,35.07591,36.69091,38.63966,37.51487
"Cote d'Ivoire","CIV",153.55843,123.47373,124.84419,138.96225,150.17056,NA
"Croatia","HRV",25.74607,NA,NA,NA,NA,NA
"Cuba","CUB",NA,NA,NA,NA,NA,NA
"Curacao","CUW",18.13375,NA,NA,NA,NA,NA
"Cyprus","CYP",38.17135,32.45829,29.2699,26.51745,NA,NA
"Czech Republic","CZE",21.76193,20.49576,20.98863,20.34101,NA,NA
"Denmark","DNK",42.55885,43.12666,NA,NA,NA,NA
"Djibouti","DJI",NA,NA,NA,NA,NA,NA
"East Asia & Pacific","EAS",22.28509,NA,NA,NA,NA,NA
"East Asia & Pacific (excluding high income)","EAP",NA,NA,NA,NA,NA,NA
"East Asia & Pacific (IDA & IBRD countries)","TEA",21.640795,NA,NA,NA,NA,NA
"Ecuador","ECU",43.25526,NA,52.67572,NA,NA,NA
"El Salvador","SLV",11.10141,10.92943,10.84972,10.8018,12.01038,11.12942
"Eritrea","ERI",NA,NA,NA,NA,NA,NA
"Estonia","EST",27.77545,31.87478,33.95498,36.92339,NA,NA
"Eswatini","SWZ",NA,128.19209,NA,NA,NA,NA
"Ethiopia","ETH",NA,266.22747,NA,NA,NA,NA
"Euro area","EMU",29.62048,31.87478,29.2699,27.60007,NA,NA
"Europe & Central Asia","ECS",25.74607,31.87478,27.14179,25.75455,NA,NA
"Europe & Central Asia (excluding high income)","ECA",16.52777,NA,NA,19.82112,15.854015,NA
"Europe & Central Asia (IDA & IBRD countries)","TEC",17.40966,NA,18.77948,23.31199,NA,NA
"European Union","EUU",26.27299,26.89935,27.748495,26.307935,NA,NA
"Fiji","FJI",NA,NA,NA,NA,NA,NA
"Finland","FIN",35.47931,35.79621,34.49292,33.93205,NA,NA
"France","FRA",33.75392,33.43725,32.96949,31.62493,NA,NA
"Gabon","GAB",NA,NA,NA,NA,NA,NA
"Gambia, The","GMB",NA,NA,NA,NA,NA,NA
"Georgia","GEO",NA,NA,NA,11.44,10.02091,NA
"Germany","DEU",37.25767,36.11148,33.95677,33.58129,NA,NA
"Ghana","GHA",67.09234,55.54285,NA,NA,NA,NA
"Greece","GRC",NA,NA,11.19976,NA,NA,NA
"Grenada","GRD",NA,NA,NA,NA,5.19902,NA
"Guatemala","GTM",17.38998,19.02813,18.05949,NA,NA,NA
"Guinea","GIN",90.80184,89.67391,NA,NA,NA,NA
"Guyana","GUY",NA,NA,NA,NA,NA,NA
"Heavily indebted poor countries (HIPC)","HPC",NA,NA,NA,NA,NA,NA
"High income","HIC",26.27299,26.68993,26.91991,25.40887,NA,NA
"Honduras","HND",52.02067,46.89926,40.93656,NA,NA,NA
"Hong Kong SAR, China","HKG",34.79222,24.59004,23.31769,24.33261,23.04764,24.20304
"Hungary","HUN",25.40906,23.33577,21.24612,25.40887,NA,NA
"IBRD only","IBD",19.47978,NA,NA,NA,NA,NA
"Iceland","ISL",23.88149,23.86484,24.7867,27.31457,NA,NA
"IDA only","IDX",NA,NA,NA,NA,NA,NA
"IDA total","IDA",NA,NA,NA,NA,NA,NA
"India","IND",49.27271,NA,NA,NA,NA,NA
"Indonesia","IDN",21.60243,19.53687,20.76979,NA,NA,NA
"Iran, Islamic Rep.","IRN",12.1726,12.80467,NA,18.12099,24.15663,NA
"Ireland","IRL",25.6625,22.76605,18.99692,15.54304,NA,NA
"Israel","ISR",21.91679,20.93237,19.25088,18.18129,NA,NA
"Italy","ITA",26.27299,26.27229,25.26641,24.32675,NA,NA
"Jamaica","JAM",42.04212,NA,36.59035,NA,NA,NA
"Japan","JPN",23.99086,24.36669,NA,20.60904,NA,NA
"Jordan","JOR",NA,NA,NA,23.18203,22.61967,25.32656
"Kazakhstan","KAZ",9.56983,9.23194,11.33543,9.89648,8.5651,7.46282
"Kenya","KEN",NA,NA,76.42309,NA,NA,NA
"Korea, Rep.","KOR",NA,NA,14.76092,15.02377,NA,NA
"Kuwait","KWT",NA,NA,NA,NA,NA,NA
"Kyrgyz Republic","KGZ",17.40966,5.58524,NA,4.84321,4.89776,NA
"Lao PDR","LAO",21.67916,20.34415,NA,NA,NA,NA
"Late-demographic dividend","LTE",24.54461,26.000875,25.715835,23.31199,NA,NA
"Latin America & Caribbean","LCN",31.14099,NA,NA,NA,NA,NA
"Latin America & Caribbean (excluding high income)","LAC",31.14099,NA,34.05957,NA,NA,NA
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",29.81738,NA,33.04323,NA,NA,NA
"Latvia","LVA",29.62048,25.51264,27.37707,17.72948,NA,NA
"Least developed countries: UN classification","LDC",NA,NA,NA,NA,NA,NA
"Lebanon","LBN",19.47978,NA,NA,NA,NA,NA
"Lesotho","LSO",NA,NA,NA,NA,NA,44.69406
"Liberia","LBR",NA,NA,NA,NA,NA,NA
"Libya","LBY",NA,NA,NA,NA,NA,NA
"Liechtenstein","LIE",NA,NA,NA,NA,NA,NA
"Lithuania","LTU",24.57223,26.89075,24.80784,17.99265,NA,NA
"Low income","LIC",NA,NA,NA,NA,NA,NA
"Luxembourg","LUX",NA,41.11313,42.75533,NA,NA,NA
"Macao SAR, China","MAC",19.14788,17.35804,24.61862,23.20479,19.0542,NA
"Madagascar","MDG",NA,NA,0.03371,0.03809,NA,NA
"Malawi","MWI",NA,NA,NA,NA,NA,NA
"Malaysia","MYS",44.12602,NA,NA,25.90471,24.78556,23.75401
"Maldives","MDV",NA,31.87037,NA,NA,NA,NA
"Mali","MLI",111.89054,152.13595,165.6316,188.86353,166.91975,NA
"Malta","MLT",51.35467,47.10169,44.39611,NA,NA,NA
"Marshall Islands","MHL",NA,NA,NA,NA,NA,NA
"Mauritania","MRT",67.48049,NA,92.77992,95.78092,NA,NA
"Mauritius","MUS",8.77186,10.81858,11.11475,10.53482,9.57631,NA
"Mexico","MEX",36.90735,39.11807,36.45238,29.65754,NA,NA
"Middle income","MIC",29.81738,NA,NA,NA,NA,NA
"Moldova","MDA",NA,32.93997,NA,31.4807,30.62616,26.64596
"Mongolia","MNG",13.22666,11.30382,7.9848,10.67267,5.18859,NA
"Morocco","MAR",NA,NA,NA,NA,NA,NA
"Mozambique","MOZ",165.60055,NA,NA,NA,NA,NA
"Myanmar","MMR",NA,NA,NA,NA,NA,16.6916
"Namibia","NAM",NA,76.01238,NA,NA,NA,NA
"Nepal","NPL",22.29423,26.74935,24.16269,NA,NA,NA
"Netherlands","NLD",NA,NA,33.0426,35.77867,NA,NA
"New Zealand","NZL",28.08001,26.37621,26.93331,25.25573,NA,NA
"Niger","NER",NA,NA,312.53591,314.50436,275.24802,NA
"North America","NAC",25.032455,29.08214,29.227265,25.434805,NA,NA
"North Macedonia","MKD",NA,NA,NA,NA,NA,NA
"Norway","NOR",40.53579,42.40292,37.31122,39.82164,NA,NA
"OECD members","OED",27.92773,26.89505,27.37707,25.409775,NA,NA
"Oman","OMN",NA,NA,NA,43.55851,NA,NA
"Other small states","OSS",NA,NA,NA,NA,NA,NA
"Pakistan","PAK",78.58395,54.50023,63.01978,69.92226,67.23956,NA
"Palau","PLW",NA,NA,NA,NA,NA,NA
"Panama","PAN",NA,NA,NA,NA,NA,NA
"Paraguay","PRY",NA,NA,NA,NA,NA,NA
"Peru","PER",NA,NA,NA,10.37422,10.88362,NA
"Philippines","PHL",NA,NA,NA,NA,NA,NA
"Poland","POL",25.41659,26.48911,28.11992,25.41068,NA,NA
"Portugal","PRT",25.06298,26.89935,26.90651,NA,NA,NA
"Post-demographic dividend","PST",27.1765,26.89935,26.90651,25.3323,NA,NA
"Pre-demographic dividend","PRE",NA,NA,NA,NA,NA,NA
"Puerto Rico","PRI",37.02041,33.27516,NA,NA,NA,NA
"Romania","ROU",19.26711,24.87677,24.0546,26.09842,NA,NA
"Russian Federation","RUS",16.45398,NA,18.77948,19.82112,NA,NA
"Rwanda","RWA",94.92863,NA,107.95651,NA,NA,97.65851
"Samoa","WSM",NA,NA,NA,NA,NA,NA
"San Marino","SMR",NA,NA,NA,NA,NA,NA
"Sao Tome and Principe","STP",NA,41.93097,NA,NA,NA,NA
"Saudi Arabia","SAU",NA,NA,NA,NA,NA,NA
"Senegal","SEN",196.56276,165.66626,176.3571,143.13554,NA,131.01343
"Serbia","SRB",NA,NA,33.58741,29.57195,29.78442,NA
"Seychelles","SYC",18.43209,8.79479,NA,70.70674,NA,NA
"Singapore","SGP",20.95304,NA,NA,NA,23.54145,NA
"Slovak Republic","SVK",31.19209,33.17606,42.08415,27.60007,NA,NA
"Slovenia","SVN",23.84235,23.72155,23.84036,24.3256,NA,NA
"Small states","SST",NA,NA,NA,NA,NA,NA
"South Africa","ZAF",39.20118,38.19787,40.02283,NA,46.83211,47.9767
"South Asia","SAS",36.47267,40.673215,29.412,30.52166,NA,NA
"South Asia (IDA & IBRD)","TSA",36.47267,40.673215,29.412,30.52166,NA,NA
"Spain","ESP",23.29205,22.98794,22.91741,21.81691,NA,NA
"Sri Lanka","LKA",23.67263,26.8462,29.412,30.52166,26.60908,31.55806
"St. Kitts and Nevis","KNA",NA,NA,5.84161,NA,NA,NA
"St. Lucia","LCA",NA,NA,NA,NA,NA,0
"Sweden","SWE",43.45347,43.82746,43.11866,43.24651,NA,NA
"Switzerland","CHE",40.54859,40.97992,37.67913,37.4052,NA,NA
"Syrian Arab Republic","SYR",NA,NA,NA,NA,NA,NA
"Tajikistan","TJK",19.117,NA,19.56957,NA,NA,NA
"Tanzania","TZA",NA,NA,NA,NA,NA,NA
"Thailand","THA",18.17357,NA,NA,NA,NA,NA
"Timor-Leste","TLS",NA,NA,NA,NA,NA,NA
"Togo","TGO",98.98592,111.34646,91.09807,81.64483,77.17135,NA
"Tonga","TON",NA,NA,NA,NA,NA,NA
"Tunisia","TUN",57.85019,55.13643,54.74251,NA,NA,NA
"Turkey","TUR",41.19523,38.48285,32.269,35.28416,NA,NA
"Turks and Caicos Islands","TCA",NA,NA,87.56158,NA,NA,NA
"Uganda","UGA",NA,NA,NA,NA,NA,NA
"Ukraine","UKR",43.85232,37.10283,NA,38.53561,34.46536,NA
"United Arab Emirates","ARE",NA,NA,NA,NA,NA,NA
"United Kingdom","GBR",40.20748,41.20273,35.35066,37.99046,NA,NA
"United States","USA",20.41236,21.16585,21.52057,19.42953,NA,NA
"Upper middle income","UMC",19.07659,NA,NA,NA,NA,NA
"Uruguay","URY",NA,NA,NA,25.19618,25.38864,NA
"Vanuatu","VUT",NA,NA,NA,NA,NA,NA
"Venezuela, RB","VEN",NA,NA,NA,NA,NA,NA
"Vietnam","VNM",34.21589,NA,NA,NA,NA,NA
"World","WLD",29.65255,NA,NA,NA,NA,NA
"Zimbabwe","ZWE",161.41752,NA,NA,NA,NA,NA
